,title,description,rating,genre,year,length,country
185,Нормальный только я,"Новый директор детского лагеря «Красный сокол» заручается поддержкой мэра, чтобы признать сооружение аварийным и построить вместо него коттеджный посёлок. Но грандиозным планам внезапно мешает маленькая случайность. Из-за бюрократической неразберихи в «аварийный» лагерь приезжает группа ребят с особенностями здоровья. Подкуп, поджог, угрозы — директор готов пойти на что угодно, лишь бы выставить детей, а они готовы бороться за своё право на отдых.",7.2,Комедии,2021,"95 мин.
                                                    ",Россия
186,Авако,"Жарким летом сбываются мечты 13-летней Ани: она наконец может провести целый день с соседом-панком Арсением. Девушка давно влюблена в парня, но он всё еще считает ее ребенком. Чтобы показаться крутой и взрослой, Аня соглашается на прогулку вместе с друзьями Арса. Она даже не подозревает, насколько важной окажется для нее веселая летняя ночь.",7.2,Драма,2021,"29 мин.
                                                    ",Россия
187,Красный свиток,"Во время прогулки по лесу юная Нина находит таинственный свиток. Он оказывается порталом в страну Теллурию, где рождаются сны. Героиня узнает, что грезы и реальность тесно связаны, а свиток способна найти только избранная. Девочке предстоит сразиться с Лордом тьмы — злым волшебником, который хочет прорваться через сны в мир Нины.",7.2,Мультфильм,2020,"88 мин.
                                                    ",Бразилия
188,Один вдох,"В сорок лет Марина Гордеева неожиданно открывает для себя фридайвинг – экстремальное подводное плавание. Погружаясь на глубину, она бросает вызов своему страху и пределу человеческих возможностей. Виктория Исакова, Владимир Яглыч, Максим Суханов, Артем Ткаченко и Стася Милославская в перехватывающей дыхание спортивной драме Елены Хазановой «Один вдох». Прототипом главной героини стала «королева фридайвинга» Наталья Молчанова, установившая 41 мировой рекорд. Около трети фильмы занимают завораживающе красивые и напряженные подводные съемки, не имеющие аналогов в российском кино.

Марина Гордеева – сорокалетняя женщина с незавидной, но, в целом, обычной судьбой. Она живет в небольшом городе, работает на нелюбимой работе; ее брак распался, дети выросли, отношения с собственным отцом не складываются. Все так бы и шло по накатанной, если бы Марина почти случайно не открыла в себе талант к фридайвингу – плаванию на глубину с задержкой дыхания. Несмотря на свой возраст, непонимание окружающих и смертельный риск, Марина начинает профессионально заниматься этим малопопулярным в России видом спорта. Немолодой спортсменке удается сделать то, что еще не делала ни одна женщина. Ее страхи и травмы прошлого остаются за спиной, а впереди – морская бездна, притягательная и опасная, как сама свобода. 

Мощную спортивную драму на основе реальных событий «Один вдох» можно посмотреть в нашем онлайн-кинотеатре.",7.2,Драма,2020,"101 мин.
                                                    ",Россия
189,"Гудбай, Америка","Это искренние истории о совершенно разных людях, которых объединяет один недуг – все они пытаются отрезать свои корни, но не могут изменить главное: они уехали из России, а Россия из них – нет.

Виктор Сергеевич прилетает в Лос-Анджелес к взрослой дочери, ее мужу и внуку-школьнику, которого видел только на фотографиях. Русский дедушка берется за перевоспитание маленького Паши, не знающего элементарных вещей, без которых немыслимо детство в России. 

Тем временем их соседи по русскому кварталу тоже сталкиваются с общими трудностями эмигрантов. Так, энергичный армянин Армен изо всех сил старается закрепиться в Штатах и ради этого познает сомнительное удовольствие фиктивного брака с продвинутой американской «женой». 

Юля живет в Америке с ранних лет, но не может забыть вкус гефилте фиш, которую готовила когда-то ее бабушка в далеком черноморском городе. Всё, что подают в ресторанах Лос-Анджелеса, кажется подделкой. Или, быть может, настоящая проблема в том, что Юля ищет не «Рыбу фиш», а дорогу в собственное детство? 

Обратная ситуация – молодой бизнесмен Игорь, не так давно начавший вести дела в США. Он пытается одним махом обрубить свое русское прошлое, убеждая себя и других, что он типичный преуспевающий американец.

У всех героев своя жизнь, но у каждого что-то да не так. Их пути переплетаются вокруг авантюриста Георгия, или Жоры, – детского учителя музыки и специалиста по решению любых проблем. Самые непохожие друг на друга русские эмигранты обращаются к нему со своими вопросами, поручениями и невзгодами, а он так или иначе помогает им копнуть глубже – вернуться к корням. ",7.2,Драма,2020,"102 мин.
                                                    ",Россия
190,Пушистые спасатели,"В городке Санкчюри-Сити дружно живут самые разные австралийские животные: коалы, эму, утконосы и вомбаты. Однажды в секретное укрытие малышки-вомбатки Мэгги попадает Брэдли. Это неожиданное знакомство перерастает в крепкую дружбу, а затем и в любовь.
Повзрослевшие Мэгги и Брэдли поженились и обзавелись собственной очень уютной норкой и полны радужных планов на жизнь. Но однажды на стройке огромного стадиона, где работала наша семья вомбатов, произошёл обвал и спастись из шахты удалось лишь Мэгги. Этому поспособствовал местный супергерой Нелётное перо. 
Спустя шесть месяцев Мэгги так и не смирилась с произошедшим и самостоятельно пытается отыскать мужа, роя подземные ходы то тут, то там, чем озадачивает городские органы безопасности. 
Жизнь Мэгги начинает меняться, когда она случайно помогает сахарной летяге, работающему в магазинчике. Спасённый Свити уверен, что из Мэгги получится настоящий супергерой. Скоро в этом убеждаются и остальные жители города. 
Однако не все радуются талантам Мэгги. Нелётное перо видит в вомбатихе конкурентку и намерен помешать в её благородном призвании. Удастся ли Мэгги дать отпор козням своего противника и стать настоящей помощницей жителям городка? 
Об это можно будет узнать, посмотрев онлайн красочный австралийский мультфильм «Пушистые спасители» на нашем сайте. ",7.2,Мультфильм,2020,"86 мин.
                                                    ",Австралия
191,Тоня против всех,"Тоня Хардинг вошла в историю как первая фигуристка, выполнившая сложнейший тройной аксель на соревнованиях. К началу 90-х она была самой знаменитой и обсуждаемой спортсменкой в США, причём не только благодаря своему мастерству, но и невероятно взрывному характеру. Эта гремучая смесь вызывала у американцев ненависть и обожание одновременно...",7.2,Исторические,2017,"115 мин.
                                                    ",США
192,Мойдодыр,"От чумазого мальчишки, который не любил мыться, разбежались все вещи в доме! Отмыть грязнулю, хочет он того или нет, спешит могучий Мойдодыр!",7.2,Мультфильм,1954,"17 мин.
                                                    ",Россия
193,Елки-иголки,"Канун Нового года. Ландшафтный дизайнер Катя развозит елки заказчикам, пытаясь избежать знакомства с женихом, которого ей привела мама. Она соглашается встретить в аэропорту дядю соседа-американца. Но по ошибке девушка забирает не того мужчину. А, как известно, случайности неслучайны. Катя попадает в аварию и знакомится с обаятельным Игорем. Но это лишь первый сюрприз, который преподнесет незабываемая праздничная ночь.",7.2,Комедии,2022,"99 мин.
                                                    ",Россия
194,Миколка-паровоз,"На узловой станции в семье машиниста живет мальчик Миколка по прозвищу Паровоз. Узнав о том, что через станцию будет проезжать царь, Миколка решает пожаловаться царю на начальника станции, обижающего отца. Но по пути мальчика избивают жандармы, и теперь Миколка мечтает о мести. Но отомстить он не успевает — события в стране начинают меняться с удивительной быстротой, и домик его отца оказывается в центре этих событий...",7.2,Приключения,1956,"87 мин.
                                                    ",СССР
195,Из ада в ад,"1941 год. Польский городок Кельц занимают немцы… Главная героиня перед отправкой в концлагерь отдает свою дочь польской семье, в которой недавно умер ребенок. Война прошла, бывшая заключенная возвращается в родной город и хочет вернуть свою дочь. Но девушка выросла, не зная, кто ее настоящие родители. Внутренние противоречия и глубокие душевные переживания ставят героев в жестокую ситуацию выбора.",7.2,Драма,1996,"94 мин.
                                                    ",Германия
196,Девочка ищет отца,"Великая Отечественная война. В скрытый от немцев лесной домик, где живут только лесник с внуком, хозяин приносит четырехлетнюю девочку, не подозревая, что она — дочь легендарного партизана батьки Панаса. Наивный старик раскрывает гестаповцам местонахождение девочки, но, поняв свою ошибку, он решает сделать всё возможное, чтобы спасти детей.",7.2,Драма,1959,"87 мин.
                                                    ",СССР
197,Чижик-Пыжик возвращается,"Городская легенда гласит, что скульптура Чижика-Пыжика способна исполнить желание любого, кто сможет закинуть монету на пьедестал, не уронив ее в воду. Пятиклассник Лева, приехавший в Санкт-Петербург на экскурсию с классом, очень надеется на памятник: мальчик мечтает помирить родителей. Но миниатюрную птичку похищают прямо на глазах у Левы и его одноклассницы Даны. Школьники решают незамедлительно начать поиски злоумышленника.",7.2,Приключения,2023,"88 мин.
                                                    ",Россия
198,Круиз. В поисках сокровищ,"Несколько семей отправляются в мини-круиз на лайнере «Роттердам». Родители участвуют в романтическом конкурсе для пар, пока дети исследуют судно, но не всем здесь весело. Озорной непоседа Бенья и его старшая сестра Рави натолкнулись на двух мошенников. Папа и мама слишком заняты, чтобы обратить внимание на странные заявления ребят, поэтому юным героям приходится самим противостоять преступникам.",7.2,Комедии,2022,"65 мин.
                                                    ",Нидерланды
199,Детки в порядке,"Что будет, если без присмотра останется не один, а сразу шестеро детей? Мамы Клара и Сюзанна вызвались сопровождать семерых сорванцов до летнего лагеря, но один из них убежал. Пока хулигана догоняли, поезд с остальными ребятами уехал. Женщины могли бы вместе посмеяться, если бы эта ситуация уже не случалась со школьниками год назад.",7.2,Семейные,2022,"85 мин.
                                                    ",Испания
200,Ночной гость,"Поздним летним вечером в домике на берегу красивого озера, где обычно останавливаются рыболовы, появляется еще один гость - Пал Палыч.

Вскоре хозяйка, и все постояльцы начинают чувствовать, что за внешним обаянием, за пустой красивой фразой скрывается равнодушный и очень эгоистичный человек.",7.2,Драма,1958,"58 мин.
                                                    ",СССР
201,Табачный капитан,"Музыкальная историческая комедия из эпохи Петра I. Нерадивого боярского сына царь посылает в Голландию учиться морскому делу. Но в науках преуспевает не знатный недоросль, а его крепостной холоп. Он-то и становится офицером по возвращении в Россию.",7.2,Комедии,1972,"80 мин.
                                                    ",СССР
202,Порох,"В основе фильма - реальный факт из истории обороны Ленинграда. Осенью 1941 года под огнем вражеской артиллерии и налетами авиации небольшой отряд доставил из Кронштадта порох, необходимый для обороны города...",7.2,Драма,1985,"92 мин.
                                                    ",СССР
203,Мишель и Мишутка,"Знаменитый артист медведь Мишель, перестав в отпуске тренироваться, чуть было не сорвал очередное выступление в цирке. Но медвежонок Мишутка выполнил за него основной номер — полёт под куполом цирка.",7.2,Комедии,1961,"33 мин.
                                                    ",СССР
204,Жена ушла,"Он считал свою семейную жизнь идеальной. Нормальные, а иногда и большие заработки вполне устраивали красивую и нежную жену. Ребенок особых хлопот не доставлял. Все, что нужно было для его счастья, - имелось. Но жена ушла. Ушла не к другому, а ушла, чтобы не быть несчастной.",7.2,Драма,1979,"91 мин.
                                                    ",СССР
205,Единственная...,"Вернувшись со срочной службы, герой фильма узнает от близких, что его любимая жена «погуливала». Он решает простить непутевой былые грехи — но счастье семейной жизни все равно оказывается недолгим. Молодой муж добивается развода, хотя жена твердит, что всегда любила только его. Он уверен, что поступает правильно, надеется на облегчение страданий. Однако его жизнь начинает идти как-то наперекосяк; ноги то и дело ведут к старому дому...",7.2,Драма,1975,"96 мин.
                                                    ",СССР
206,Драма из старинной жизни,"Мелодрама по рассказу Н.С.Лескова «Тупейный художник». Прослеживается судьба двух молодых людей, наделенных душой и талантом, в крепостном обществе конца 18-го - начала 19-го веков, где человеческая личность сама по себе не значит и не стоит ничего. 

Драма, полюбивших друг друга, графского парикмахера Аркадия и крепостной актрисы Любы развертывается в той среде, которая причудливо сочетает дремучую дикость с внешним лоском, варварство - с видимостью просвещения. Молодым людям удается бежать, но счастью их не суждено сбыться...",7.2,Драма,1971,"86 мин.
                                                    ",СССР
207,Два билета на дневной сеанс,"Ответственного комсомольца Алешина райком направляет работать в ОБХСС. Однако молодой человек абсолютно не чувствует в себе призвания к этому делу и подает рапорт об увольнении. Начальник готов удовлетворить его просьбу, но только после того, как Алешин выполнит одно очень важное задание. 

Дело в следующем: у двух преступников, занимающихся валютными махинациями, обнаружены билеты на один сеанс в кинотеатр «Ударник». Казалось бы ничего криминального, однако эти два использованных билета оказываются на одно и то же место, но на разные дни. 

Оперативникам это кажется странным, и начальство поручает Алешину все выяснить. Молодой человек начинает раскручивать это дело. Самый обыкновенный билет на киносеанс неожиданно оказывается паролем преступников. Алешин с помощью этой информации внедряется в банду...",7.2,Криминал,1966,"90 мин.
                                                    ",СССР
208,Господин оформитель,"Художник однажды встречает прекрасную женщину, как две капли воды похожую на одно из его творений.",7.2,Драма,1988,"109 мин.
                                                    ",СССР
209,Выйти замуж за капитана,"Эмансипированная молодая женщина живет, ни от кого не завися, и все свои проблемы - на работе и дома - решает самостоятельно. Но вот однажды случай сводит ее с капитаном-пограничником - и Лена вдруг понимает, как это замечательно - чувствовать себя защищенной, слабой и любимой...",7.2,Мелодрама,1985,"90 мин.
                                                    ",СССР
210,Виринея,"Действие происходит в годы гражданской войны и становления Советской власти в Сибири. Героиня фильма - деревенская женщина Виринея, которая была в числе первых, кто помогал обустраивать новую жизнь...",7.2,Драма,1968,"109 мин.
                                                    ",СССР
211,Бабушкин внук,"История, случившаяся с Давидом Калошяном - весёлым, открытым мальчишкой, переехавшим с семьёй из родного Еревана в Ленинград, где всё ему внове. Девочка, как и он, только что пришедшая в новую школу и не сумевшая в силу разных обстоятельств подружиться с кем-либо в классе, делится с Давидом своими тайнами и трудностями.

Давид узнаёт, что Светка пишет стихи, но не сразу понимает, что столь печальный стиль стихов связан с личной, семейной трагедией... Как поведёт себя Давид? Сможет ли сохранить тайны Светы?",7.2,Семейные,1979,"82 мин.
                                                    ",СССР
212,Путешественница во времени,"Любая мелочь не случайна. Об этом думает 80-летняя Джулия. Женщина пережила взлеты и падения, любовь и одиночество, счастье и горе. Каждый раз ее будущее определяла сущая мелочь вроде подброшенной монетки. Судьба дарит героине шанс перенестись в те самые поворотные моменты и изменить их. Так Джулия приходит к трем разным путям развития ее судьбы.",7.2,Драма,2023,"121 мин.
                                                    ",Франция
213,Ослиная шкура,"«Ослиной шкурой» прозвали принцессу Терезу, которая убежала из-под венца, потому что любила другого - бедного принца Жака. Теперь она вынуждена скитаться в образе нищенки, терпеть унижения и прятаться от полиции. Но у нее есть заколдованный перстень с изумрудом. С помощью него она спасает жизнь Жаку.",7.2,Мелодрама,1982,"85 мин.
                                                    ",СССР
214,Мой добрый папа,"Элегическое повествование от лица мальчика Пети, который вспоминает о своей счастливой предвоенной жизни в Баку, о папе, композиторе и дирижере, вечно суетящейся маме, о младшем братишке Бобе. Но началась война, и всему нехитрому счастью пришел конец. А папа ушел на фронт и не вернулся. Уходя на фронт, отец десятилетнего Пети велел ему всегда быть добрым к людям, помогать им в трудностях и беде. Не вернулся отец домой, погиб в бою. Но его слова навсегда запали в душу мальчика, стали принципом его жизни.",7.2,Драма,1970,"70 мин.
                                                    ",СССР
215,Зеленые цепочки,"Лето 1941 года. Юные Степа и Миша возвращаются в Ленинград из пионерского лагеря. В дороге они помогают однорукому мужчине, который назвался дядей Петей. Внезапно начавшаяся бомбардировка заставляет мальчишек и их случайного попутчика разделиться – в результате его багаж остается у пионеров. В Ленинграде ребята открывают чемодан и находят там ракеты, которые используются фашистами для того, чтобы вражеским самолетам было проще разрушать советские города и села. Друзья хотят самостоятельно найти таинственного дядю, который, как оказалось, вовсе не фронтовик, а диверсант.",7.2,Приключения,1970,"98 мин.
                                                    ",СССР
216,В городе С.,"Фильм повествует о превращении молодого честолюбивого, полного планов и светлых мечтаний земского врача Старцева, поселившегося в губернском городе С, в скучного и уставшего от собственного благополучия доктора Ионыча.",7.2,Драма,1966,"97 мин.
                                                    ",СССР
217,Драйв,"Молодой житель Лос-Анджелеса днем ремонтирует машины и выполняет трюки на съемочных площадках, а по ночам работает водителем, который помогает грабителям покидать места преступлений. Привычной жизни молчаливого автомеханика и хладнокровного каскадера приходит конец после знакомства с соседкой Айрин. По вине мужа за женщиной начинает охотиться мафия. Чтобы ее спасти, герою придется бросить вызов своим безжалостным заказчикам.",7.2,Криминал,2011,"97 мин.
                                                    ",США
218,Разжимая кулаки,"Ада живёт в городке Мизуре Северной Осетии, где у женщин практически нет прав. Совсем молодая, она мечтает стать свободной от удушающей опеки семьи. Дебютный показ драмы студентки Александра Сокурова Киры Коваленко прошёл в программе «Особый взгляд» Каннского кинофестиваля. Картина вошла в лонг-лист премии «Оскар» .",7.2,Драма,2021,"97 мин.
                                                    ",Россия
219,Домовой,"Молодая и независимая мама Вика с очаровательной дочкой Алиной и умным котом Кузей заселяются в странную квартиру. В стенах их нового дома живёт хитрый и ловкий Домовой, который не рад приезду cемьи и готов пойти на всё, чтобы выгнать своих новых соседей…
В одной из московских сталинских высоток продаётся необычная квартира, для которой риэлтор Элла никак не может найти покупателей. Дело в том, что в стенах помещения обитает вредный Домовой, который много лет назад обиделся на людей и не хочет, чтобы они приближались к его жилищу. Каждый раз, когда очередная семья переезжает на его территорию, Домовой своими проделками и уловками выживает людей из своих владений.
Всё меняется, когда квартиру приобретает разведённая мать-одиночка Вика и вместе со своей дочерью Алиной и котом Кузей переезжает на новое место. Несмотря на то, что он пообещал Элле хотя бы год не доставать новых жильцов своими шалостями, Домовой сразу же пытается выгнать очередных жильцов. Люди не могут видеть Домового, но Вика узнаёт о его существовании от соседки, и, не желая съезжать, начитает серьёзную борьбу за спокойствие своей семьи…
Всех поклонников добрых фантастических комедий приглашаем посмотреть удивительный фильм для всей семьи «Домовой» в нашем онлайн-кинотеатре.",7.2,Фэнтези,2019,"104 мин.
                                                    ",Россия
220,Большой кошачий побег,"Кот Пухляш наслаждался своей тихой и размеренной жизнью в уютной квартире с хозяйкой, своим сыном Шустриком и попугаем Маком. Но однажды котёнок сбежал, и пушистому отцу пришлось покинуть родной дом. В городе опасности поджидают кота на каждом шагу, но ради Шустрика герой готов на всё.",7.2,Мультфильм,2018,"84 мин.
                                                    ",Китай
221,Аптека счастья,"В будущем все болезни исчезли, и людям ни к чему лекарства. Они приходят в аптеку за духовными радостями: томным взглядом, антискандальной вакциной и витаминами против лжи.",7.2,Мелодрама,2020,"10 мин.
                                                    ",Россия
222,Со мною вот что происходит,"Новый год, у всех свои планы. Кому-то остаётся жить совсем немного, кто-то вовсе не знает, что делать со своей жизнью, а кто-то покупает подарок в последний момент. Но когда на улице Москвы пробки — не угадаешь, как пройдёт праздник.",7.2,Драма,2012,"74 мин.
                                                    ",Россия
223,Большой,"Юлия Ольшанская — обычная девушка из небольшого провинциального городишки Шахтинска. Она могла бы всю жизнь провести в родных краях и ничего не добиться, но ей повезло. Повезло иметь большую мечту и стремиться к ней всей душой и телом. Но у каждой, даже самой большой и светлой мечты, есть своя цена.",7.2,Драма,2016,"127 мин.
                                                    ",Россия
224,Повелитель бури,"Джеймс - сапёр американской армии в Ираке, обезвреживающий мины и бомбы в самом сердце битвы. Война - его страсть и единственное увлечение. Сослуживцы ценят его за профессионализм, однако далеко не всем в отряде по нраву излишне легкомысленное отношение к делу, особенно от человека, который работает со взрывчаткой...",7.2,Драма,2008,"123 мин.
                                                    ",США
225,Клуб любителей книг и пирогов из картофельных очистков,"Писательница Джульет, потерявшая интерес к сочинительству, готовится к турне со своей книгой, и получает письмо с острова Гернси с просьбой помочь с одной книгой для читательского клуба «Клуб любителей книг и пирогов из картофельных очистков». Вскоре она решает бросить на время турне, чтобы лично познакомиться с теми, кто придумал такое название. Любопытство вдохновит Джульет на новую книгу и не только...",7.2,Мелодрама,2018,"118 мин.
                                                    ",Великобритания
226,Неадекватные люди 2,"Виталий и Кристина переживают кризис брака. Преуспевающий муж погружен в работу, молодая жена целыми днями дома, а сердце требует перемен. Обычная история? Как бы не так. Продолжение комедийного хита 2010 года режиссера Романа Каримова, снятое при поддержке Иви. Ингрид Олеринская, Илья Любимов и Евгений Цыганов вернулись к прежним полюбившимся ролям.

Прошло десять лет с тех пор, как саркастичная выпускница школы Кристина и ее потрепанный жизнью сосед за тридцать Виталий  махнули на всё рукой и решили быть вместе. Их нетипичная история любви казалась смелой и обнадеживающей, а вот их брак – нет. Теперь Виталий вполне успешен, в то время как Кристина выполняет роль молодой домохозяйки при зрелом работающем муже. Чем бы растормошить свою зависшую жизнь? Способов много, адекватных и не очень, и пришло время попробовать всё. Пришло время перемен: Кристина отправилась искать себя. Путь к самореализации в ее случае – это путь в неизвестность, заводящий в самые странные места, толкающий на неожиданные поступки и приводящий к непредсказуемым последствиям. 

Чем закончится ее неоднозначное путешествие? Предлагаем посмотреть изобретательный сиквел громкой комедии «Неадекватные люди 2» онлайн.",7.2,Мелодрама,2020,"119 мин.
                                                    ",Россия
227,"Частное пионерское. Ура, каникулы!!!","Пионерский лагерь лучшее место для первой любви, в этом убеждаются наши старые знакомые, ведь именно здесь страсти по-шекспировски накалятся, и им придется бороться за сердце своей подруги.",7.2,Приключения,2015,"100 мин.
                                                    ",Россия
228,Самый Новый год!,"У ветеринарного фельдшера Саши день рождения 1 января. Накануне праздника он переносится в прошлое, в дом своих родителей, у которых вот-вот появится сын. Гостю из будущего предстоит пережить 31 декабря 1992 года. Звезда хитовых народных комедий Роман Курцын в смешном и душевном новогоднем фильме-путешествии в колоритные 90-е.

Саше повезло родиться 1 января. Или не повезло, как посмотреть. Двойной праздник оборачивается для него испытанием из-за напряженной обстановки в доме. Любимая девушка Оля ждет не дождется предложения, а Саша не может решиться ввиду своей скромной работы – он чистит уши собакам в ветеринарной клинике.  Это очень не нравится Олиной маме, а сама Оля не нравится Сашиной маме, и от всех нескончаемых проблем ему просто хочется куда-нибудь провалиться. Тут-то его и настигает новогоднее чудо, да еще какое! Саша переносится почти на тридцать лет назад, за пару часов до своего рождения. Путешественника во времени встречает новогодняя Россия 1992-го. 

Для приятного отдыха и праздничного настроения предлагаем посмотреть онлайн комедийный фильм Антонины Руже «Самый Новый год!».",7.2,Комедии,2020,"80 мин.
                                                    ",Россия
229,Игры разумов,"Англия середины XIX века. Оксфордский профессор Джеймс Мюррей работает над первым в истории словарем английского языка, а его главным соратником становится заключенный психиатрической клиники для особо опасных преступников – доктор Уильям Майнор. Гений Майнор или сумасшедший, хитроумный преступник, ведущий дерзкую игру, чтобы вырваться на свободу, или одержимый ученый? И кто тогда Мюррей: верный друг, жертва манипуляции или сообщник?",7.2,Детективы,2018,"120 мин.
                                                    ",Ирландия
